sentences
stretch cotton v neck t shirt dredosos
this t shirt by hugo is crafted from cotton with a hint of stretch for comfort a small embossed tonal logo detail above the hem completes this v neck style 
leather belt with embossed detail
upgrade your everyday collection with this timeless best selling leather belt by boss menswear finished with embossed texturing the belt secures with a polished gunmetal pin buckle featuring subtle engraved branding it is the perfect way to modernize a business or casual look 
italian leather derby dress shoe prindo
crafted from fine italian calfskin with a printed finish these lace up dress shoes by boss are a true wardrobe essential an engraved logo detail adorns the back just below the ankle leather lining and sole disclaimer dress shoes are available online in us sizes but the shoe and shoe box label list its uk equivalent please reference the size chart when making a purchase 
virgin wool tuxedo regular fit stars glamour
this regular fit tuxedo by boss is crafted in virgin wool the two button jacket features artful details including silk satin covered buttons and trimming along the lapel and welt pockets model is with a waist chest and is wearing size r enjoy complimentary alterations for unfinished trouser bottoms on full price and sale purchases if this service is required please bring receipt to store for tailoring 
italian virgin wool suit slim fit huge genius
our best selling suit just got better with an updated super virgin wool fabrication supplied by italy s world renowned reda mill super s wool is a fine fiber with durable quality a slim silhouette distinguishes this suit with modern sophistication enjoy complimentary alterations for unfinished trouser bottoms on full price and sale purchases if this service is required please bring receipt to store for tailoring 
 connio metal tab detailed leather belt
opt for a distinctive look with this leather belt from boss this eye catching style has details like a brushed metal buckle designer stamped tab and a rounded end when ordering belts in inch sizing hugo boss suggests ordering one size up from your actual pant size for the best fit 
sleeveless shift dress in italian stretch wool
a versatile business dress by boss womenswear crafted in italian virgin wool blended with a touch of stretch for elevated comfort designed with a feminine silhouette this essential shift dress features a wider seam allowance making alterations easier for a customized fit a vent at the back offers ease of movement while a concealed rear zipper with a hardware puller underlines this streamlined piece 
stretch wool jacket with narrow lapels 
